"Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
OP_10,Abdomen CT Use of Contrast Material,5.8,,07/01/2024,06/30/2025
OP_39,Breast Cancer Screening Recall Rates,9,,07/01/2024,06/30/2025
