"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Measure Name","Achievement Measure Ratio","SHR Measure Score","SHR Reason for No Score (See Footnotes File)","State Average SHR Measure Score","National Average SHR Measure Score"
"Fresenius Medical Care Northside Dialysis, LLC","672881","-","235 FM 1960 RD W STE 235C","HOUSTON","TX","77090","Network 14","Standardized Hospitalization Ratio","272.14","0","-","2","3"
"FRESENIUS MEDICAL CARE NORTH TEXAS","452510","-","1600 NINTH STREET","WICHITA FALLS","TX","76301","Network 14","Standardized Hospitalization Ratio","184.65","0","-","2","3"
"FRESENIUS MEDICAL CARE OBETZ, LLC","722504","-","4339 FROEHLICH BLVD","Columbus","OH","43207","Network 9","Standardized Hospitalization Ratio","130.70","5","-","3","3"
"FRESENIUS MEDICAL CARE OF ALEXANDER COUNTY","342687","-","175 COMMERCE DRIVE","TAYLORSVILLE","NC","28681","Network 6","Standardized Hospitalization Ratio","152.09","2","-","4","3"
"Fresenius Medical Care of Anson County","342673","-","2349 US HWY 74 WEST","WADESBORO","NC","28170","Network 6","Standardized Hospitalization Ratio","123.24","5","-","4","3"
"FRESENIUS MEDICAL CARE OF AYDEN","342632","-","3793 LEE STREET","AYDEN","NC","28513","Network 6","Standardized Hospitalization Ratio","231.11","0","-","4","3"
"FRESENIUS MEDICAL CARE OF BATESBURG LEESVILLE","422603","-","303 VILLAGE SQUARE DRIVE","LEESVILLE","SC","29070","Network 6","Standardized Hospitalization Ratio","99.81","8","-","3","3"
"FRESENIUS MEDICAL CARE OF CEDAR PARK","672576","-","1201 NORTH LAKELINE BLVD.","CEDAR PARK","TX","78613","Network 14","Standardized Hospitalization Ratio","159.16","2","-","2","3"
"Fresenius Medical Care of Cocheco River","302514","-","343 SIXTH STREET","DOVER","NH","03820","Network 1","Standardized Hospitalization Ratio","136.80","4","-","4","3"
"FRESENIUS MEDICAL CARE OF COCKRELL HILL","672659","-","4810 WEST ILLINOIS","Dallas","TX","75211","Network 14","Standardized Hospitalization Ratio","107.26","7","-","2","3"
"FRESENIUS MEDICAL CARE OF DEL RIO","672545","-","2201 N BEDELL, SUITE D","DEL RIO","TX","78840","Network 14","Standardized Hospitalization Ratio","109.41","7","-","2","3"
"Fresenius Medical Care of Fairfield","072536","-","500 KINGS HWY","FAIRFIELD","CT","06825","Network 1","Standardized Hospitalization Ratio","131.86","4","-","3","3"
"Fresenius Medical Care of Fairhaven","222591","-","216 HUTTLESON AVENUE","FAIRHAVEN","MA","02719","Network 1","Standardized Hospitalization Ratio","211.20","0","-","2","3"
"FRESENIUS MEDICAL CARE OF HIBBING","242561","-","3899 HIGHWAY 73","HIBBING","MN","55746","Network 11","Standardized Hospitalization Ratio","103.56","8","-","4","3"
"Fresenius Medical Care of Lancaster","302508","-","173 MIDDLE STREET","LANCASTER","NH","03584","Network 1","Standardized Hospitalization Ratio","76.22","10","-","4","3"
"Fresenius Medical Care of Lebanon","302509","-","56 ETNA ROAD","LEBANON","NH","03766","Network 1","Standardized Hospitalization Ratio","151.75","2","-","4","3"
"FRESENIUS MEDICAL CARE OF LEE COUNTY","422566","-","289 FAIRVIEW AVE","BISHOPVILLE","SC","29010","Network 6","Standardized Hospitalization Ratio","147.07","3","-","3","3"
"FRESENIUS MEDICAL CARE OF LILLINGTON","342648","-","1605 SOUTH MAIN STREET","LILLINGTON","NC","27546","Network 6","Standardized Hospitalization Ratio","100.76","8","-","4","3"
"Fresenius Medical Care of Lowell","222583","-","847 ROGERS STREET SUITE 101","LOWELL","MA","01852","Network 1","Standardized Hospitalization Ratio","142.55","3","-","2","3"
"FRESENIUS MEDICAL CARE OF LUGOFF ELGIN","422605","-","909 CAROLINA DRIVE","LUGOFF","SC","29078","Network 6","Standardized Hospitalization Ratio","87.03","10","-","3","3"
"FRESENIUS MEDICAL CARE OF MARLBOROUGH","222570","-","360 CEDAR HILL STREET","MARLBOROUGH","MA","01752","Network 1","Standardized Hospitalization Ratio","141.13","3","-","2","3"
"Fresenius Medical Care of Mashpee","222553","-","34 BATES ROAD","MASHPEE","MA","02649","Network 1","Standardized Hospitalization Ratio","175.27","0","-","2","3"
"Fresenius Medical Care of Methuen","222565","-","421 MERRIMACK STREET","METHUEN","MA","01844","Network 1","Standardized Hospitalization Ratio","108.77","7","-","2","3"
"FRESENIUS MEDICAL CARE of MOUNT WASHINGTON VALLEY","302512","-","21 B POLIQUIN DRIVE","CONWAY","NH","03818","Network 1","Standardized Hospitalization Ratio","163.48","1","-","4","3"
"Fresenius Medical Care of Plymouth Cordage","222567","-","10 CORDAGE PARK CIRCLE","PLYMOUTH","MA","02360","Network 1","Standardized Hospitalization Ratio","213.05","0","-","2","3"
"Fresenius Medical Care of Southington","072534","-","341 WEST STREET","PLANTSVILLE","CT","06479","Network 1","Standardized Hospitalization Ratio","102.90","8","-","3","3"
"FRESENIUS MEDICAL CARE OF SPRING HOPE","342644","-","102 DODD STREET","SPRING HOPE","NC","27882","Network 6","Standardized Hospitalization Ratio","196.61","0","-","4","3"
"Fresenius Medical Care of Wareham","222577","-","100 ROSEBROOK WAY","WAREHAM","MA","02571","Network 1","Standardized Hospitalization Ratio","144.44","3","-","2","3"
"Fresenius Medical Care of Warwick","412501","-","2814 POST ROAD","WARWICK","RI","02886","Network 1","Standardized Hospitalization Ratio","197.66","0","-","3","3"
"FRESENIUS MEDICAL CARE OF WEST SEGUIN","672616","-","757 WEST COURT","SEGUIN","TX","78155","Network 14","Standardized Hospitalization Ratio","107.80","7","-","2","3"
"Fresenius Medical Care of Wolf river, LLC","442771","-","8040 WOLF RIVER BLVD","Germantown","TN","38138","Network 8","Standardized Hospitalization Ratio","118.85","6","-","3","3"
"FRESENIUS MEDICAL CARE OKCD, LLC","372615","-","3012 NW 150TH ST","OKLAHOMA CITY","OK","73134","Network 13","Standardized Hospitalization Ratio","112.34","7","-","2","3"
"FRESENIUS MEDICAL CARE OSHKOSH LLC","522545","-","2678 OMRO RD","OSHKOSH","WI","54904","Network 11","Standardized Hospitalization Ratio","107.51","7","-","4","3"
"Fresenius Medical Care Palestine Home, LLC","742525","-","201 MEDICAL DR","Palestine","TX","75801","Network 14","Standardized Hospitalization Ratio","176.57","0","-","2","3"
"FRESENIUS MEDICAL CARE PAMELA HEIGHTS","672677","-","15917 SOUTH POST OAK RD","HOUSTON","TX","77053","Network 14","Standardized Hospitalization Ratio","130.35","5","-","2","3"
"FRESENIUS MEDICAL CARE PAMPA","452760","-","2545 PERRYTON PKY STE E1","PAMPA","TX","79065","Network 14","Standardized Hospitalization Ratio","100.56","8","-","2","3"
