"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Measure Name","Achievement Measure Ratio","SHR Measure Score","SHR Reason for No Score (See Footnotes File)","State Average SHR Measure Score","National Average SHR Measure Score"
"032302 MARICOPA MEDICAL CTR - DIALYSIS","032302","030022","2525 E ROOSEVELT ST","PHOENIX","AZ","85008","Network 15","Standardized Hospitalization Ratio","140.68","3","-","3","3"
"032314 PHOENIX CHILDRENS HOSPITAL- DIALYSIS CENTER","032314","033302","1920 E CAMBRIDGE RD STE 102","PHOENIX","AZ","85016","Network 15","Standardized Hospitalization Ratio","143.75","3","-","3","3"
"032315 GILA RIVER DIALYSIS EAST","032315","031308","565 W SEED FARM RD","SACATON","AZ","85147","Network 15","Standardized Hospitalization Ratio","163.93","1","-","3","3"
"032316 Banner University Medical Center Pediatric Outpatient DIALYSIS UNIT","032316","030064","PO BOX 245148","TUCSON","AZ","85724","Network 15","Standardized Hospitalization Ratio","No Rate","No Score","13","3","3"
"032503 PHOENIX ARTIFICIAL KIDNEY CENTER (FMC)","032503","-","13090 N 94TH DR STE 100","PEORIA","AZ","85381","Network 15","Standardized Hospitalization Ratio","136.65","4","-","3","3"
"032508 SOUTH PHOENIX DIALYSIS SERVICES (FMC)","032508","-","1021 S 7TH AVE STE 108","PHOENIX","AZ","85007","Network 15","Standardized Hospitalization Ratio","236.58","0","-","3","3"
"032509 EAST VALLEY DIALYSIS (FMC)","032509","-","135 S POWER RD STE 103","MESA","AZ","85206","Network 15","Standardized Hospitalization Ratio","141.65","3","-","3","3"
"032514 DESERT DIALYSIS CENTER (DCI)","032514","-","2022 E PRINCE RD","TUCSON","AZ","85719","Network 15","Standardized Hospitalization Ratio","150.85","2","-","3","3"
"032516 CHANDLER DIALYSIS (FMC)","032516","-","912 W CHANDLER BLVD BLDG A-D","CHANDLER","AZ","85225","Network 15","Standardized Hospitalization Ratio","178.12","0","-","3","3"
"032517 CENTRAL PHX DIALYSIS (FMC)","032517","-","3421 N 7TH AVE","PHOENIX","AZ","85013","Network 15","Standardized Hospitalization Ratio","207.48","0","-","3","3"
"032521 DIALYSIS CENTER OF GLENDALE (FMC)","032521","-","5957 W NORTHERN AVE STE 108","GLENDALE","AZ","85301","Network 15","Standardized Hospitalization Ratio","159.44","1","-","3","3"
"032522 PARKER DIALYSIS CENTER (FMC)","032522","-","AGENCY ROAD BLDG 173","PARKER","AZ","85344","Network 15","Standardized Hospitalization Ratio","193.50","0","-","3","3"
"032524 FLAGSTAFF DIALYSIS CENTER (FMC)","032524","-","2201 N VICKEY STREET, STE 120","FLAGSTAFF","AZ","86004","Network 15","Standardized Hospitalization Ratio","120.84","6","-","3","3"
"032526 USRC SOUTHWEST MESA","032526","-","1457 W SOUTHERN AVE STE 19","MESA","AZ","85202","Network 15","Standardized Hospitalization Ratio","188.12","1","-","3","3"
"032528 THUNDERBIRD DIALYSIS (FMC)","032528","-","5750 W THUNDERBIRD RD BLDG G #750","GLENDALE","AZ","85306","Network 15","Standardized Hospitalization Ratio","164.95","1","-","3","3"
"032530 DESERT VALLEY DIALYSIS (FMC)","032530","-","3815 E. BELL ROAD STE. 1100","PHOENIX","AZ","85032","Network 15","Standardized Hospitalization Ratio","192.15","2","-","3","3"
"032533 GLOBE DIALYSIS (FMC)","032533","-","2250 HIGHWAY 60 STE O-2","MIAMI","AZ","85539","Network 15","Standardized Hospitalization Ratio","125.31","5","-","3","3"
"032536 WINSLOW DIALYSIS CENTER (FMC)","032536","-","721 MIKE'S PIKE STREET","WINSLOW","AZ","86047","Network 15","Standardized Hospitalization Ratio","117.09","6","-","3","3"
"032537 ESTRELLA DIALYSIS CENTER (FMC)","032537","-","5546 W ROOSEVELT ST STE 1","PHOENIX","AZ","85043","Network 15","Standardized Hospitalization Ratio","155.35","2","-","3","3"
"032539 MESA DIALYSIS CENTER (FMC)","032539","-","1525 N GILBERT RD STE 121","GILBERT","AZ","85234","Network 15","Standardized Hospitalization Ratio","170.15","0","-","3","3"
"032540 FRESENIUS KIDNEY CARE WESTERN SKIES","032540","-","1041 N ARIZOLA RD","CASA GRANDE","AZ","85122","Network 15","Standardized Hospitalization Ratio","130.01","6","-","3","3"
"032541 TEMPE DIALYSIS (FMC)","032541","-","1449 W SOUTHERN AVE","TEMPE","AZ","85282","Network 15","Standardized Hospitalization Ratio","179.88","2","-","3","3"
"032542 ARCADIA DIALYSIS CENTER (FMC)","032542","-","4021 N. 30TH STREET","PHOENIX","AZ","85016","Network 15","Standardized Hospitalization Ratio","82.80","10","-","3","3"
"032544 LAKE HAVASU DIALYSIS (FMC)","032544","-","2145 MESQUITE AVE","LAKE HAVASU CITY","AZ","86403","Network 15","Standardized Hospitalization Ratio","88.97","9","-","3","3"
"032545 SOUTH MOUNTAIN DIALYSIS CENTER (FMC)","032545","-","26 E BASELINE STE 142","PHOENIX","AZ","85042","Network 15","Standardized Hospitalization Ratio","108.41","7","-","3","3"
"032546 SUN CITY WEST DIALYSIS (FMC)","032546","-","12213 W BELL ROAD STE 110","SURPRISE","AZ","85374","Network 15","Standardized Hospitalization Ratio","112.38","7","-","3","3"
"032549 SAFFORD DIALYSIS (FMC)","032549","-","1250 S 20TH AVE","SAFFORD","AZ","85546","Network 15","Standardized Hospitalization Ratio","99.49","8","-","3","3"
"032550 NORTH PHOENIX DIALYSIS (FMC)","032550","-","1957 W DUNLAP AVE STE 6C","PHOENIX","AZ","85021","Network 15","Standardized Hospitalization Ratio","207.82","0","-","3","3"
"032551 USRC MESA DIALYSIS","032551","-","1337 S GILBERT RD STE 109","MESA","AZ","85204","Network 15","Standardized Hospitalization Ratio","146.64","5","-","3","3"
"032558 BULLHEAD CITY DIALYSIS (FMC)","032558","-","2650 MIRACLE MILE","BULLHEAD CITY","AZ","86442","Network 15","Standardized Hospitalization Ratio","152.27","2","-","3","3"
"032561 CASA GRANDE DIALYSIS (FMC)","032561","-","1875 E SABIN DR","CASA GRANDE","AZ","85122","Network 15","Standardized Hospitalization Ratio","165.16","1","-","3","3"
"032563 SCOTTSDALE DIALYSIS (FMC)","032563","-","1495 N HAYDEN STE D1-D4","SCOTTSDALE","AZ","85257","Network 15","Standardized Hospitalization Ratio","No Rate","No Score","13","3","3"
"032564 MARYVALE DIALYSIS (FMC)","032564","-","4502 W INDIAN SCHOOL RD STE A4-11","PHOENIX","AZ","85031","Network 15","Standardized Hospitalization Ratio","164.04","1","-","3","3"
"032565 DESERT DIALYSIS CENTER SOUTH TUCSON (DCI)","032565","-","1011 E PENNSYLVANIA ST","TUCSON","AZ","85719","Network 15","Standardized Hospitalization Ratio","161.48","1","-","3","3"
"032568 RED MOUNTAIN DIALYSIS (FMC)","032568","-","1211 N COUNTRY CLUB DR STE 4","MESA","AZ","85201","Network 15","Standardized Hospitalization Ratio","147.17","3","-","3","3"
"032571 NORTH SCOTTSDALE DIALYSIS (FMC)","032571","-","16101 N 82ND ST STE 6-7","SCOTTSDALE","AZ","85260","Network 15","Standardized Hospitalization Ratio","165.57","1","-","3","3"
"032575 SHOW LOW DIALYSIS (FMC)","032575","-","1500 S WHITE MOUNTAIN BLVD STE 204","SHOW LOW","AZ","85901","Network 15","Standardized Hospitalization Ratio","197.11","0","-","3","3"
"032578 APACHE JUNCTION DIALYSIS (FMC)","032578","-","11540 E UNIVERSITY DR STE 109","APACHE JUNCTION","AZ","85120","Network 15","Standardized Hospitalization Ratio","141.27","3","-","3","3"
"032579 SUN LAKES DIALYSIS (FMC)","032579","-","9666 E RIGGS RD STE 143","SUN LAKES","AZ","85248","Network 15","Standardized Hospitalization Ratio","202.35","0","-","3","3"
"032580 PALM VALLEY DIALYSIS (FMC)","032580","-","13657 W MCDOWELL RD STE 106","GOODYEAR","AZ","85338","Network 15","Standardized Hospitalization Ratio","123.48","5","-","3","3"
"032583 USRC SOUTH PHOENIX","032583","-","4621 S CENTRAL AVE","PHOENIX","AZ","85040","Network 15","Standardized Hospitalization Ratio","137.29","4","-","3","3"
"032587 DEER VALLEY DIALYSIS (FMC)","032587","-","21241 N 23RD AVE STE 11","PHOENIX","AZ","85027","Network 15","Standardized Hospitalization Ratio","192.40","0","-","3","3"
"032593 GRANITE VALLEY DIALYSIS (FMC)","032593","-","14510 W SHUMWAY DR STE 100","SUN CITY WEST","AZ","85375","Network 15","Standardized Hospitalization Ratio","156.21","2","-","3","3"
"032594 SALT RIVER DIALYSIS CENTER (FMC)","032594","-","10301 E OSBORN RD BLDG 14","SCOTTSDALE","AZ","85256","Network 15","Standardized Hospitalization Ratio","144.59","3","-","3","3"
"032596 USRC NORTHEAST PHOENIX","032596","-","3305 E GREENWAY RD STE 1","PHOENIX","AZ","85032","Network 15","Standardized Hospitalization Ratio","148.77","3","-","3","3"
"032597 SAN CARLOS DIALYSIS (FMC)","032597","-","US 70 & AZ ROUTE 170","PERIDOT","AZ","85542","Network 15","Standardized Hospitalization Ratio","135.04","4","-","3","3"
"032599 AHWATUKEE DIALYSIS (FMC)","032599","-","15930 48TH STREET","PHOENIX","AZ","85048","Network 15","Standardized Hospitalization Ratio","176.22","0","-","3","3"
"032607 AVONDALE DIALYSIS (FMC)","032607","-","10750 W MCDOWELL RD STE E500","AVONDALE","AZ","85323","Network 15","Standardized Hospitalization Ratio","92.62","9","-","3","3"
"032608 AVONDALE DIALYSIS (DSI)","032608","-","13055 W MCDOWELL RD STE F101","AVONDALE","AZ","85392","Network 15","Standardized Hospitalization Ratio","153.46","3","-","3","3"
"032610 SOUTHEAST VALLEY DIALYSIS (FMC)","032610","-","22715 S ELLSWORTH RD STE D","QUEEN CREEK","AZ","85142","Network 15","Standardized Hospitalization Ratio","145.02","3","-","3","3"
"032613 NORTHWEST TUCSON DIALYSIS (FMC)","032613","-","6261 N LA CHOLLA BLVD STE 181","TUCSON","AZ","85741","Network 15","Standardized Hospitalization Ratio","152.94","2","-","3","3"
"032614 DOUGLAS DIALYSIS CENTER (DCI)","032614","-","99 E 16TH ST","DOUGLAS","AZ","85607","Network 15","Standardized Hospitalization Ratio","187.08","0","-","3","3"
"032616 DESERT DIALYSIS SAHUARITA (DCI)","032616","-","1700 W COMMERCE POINTE PL","SAHUARITA","AZ","85629","Network 15","Standardized Hospitalization Ratio","139.75","4","-","3","3"
"032617 TUCSON WEST DIALYSIS CENTER (FMC)","032617","-","100 W GRANT RD","TUCSON","AZ","85705","Network 15","Standardized Hospitalization Ratio","168.33","0","-","3","3"
"032622 GOODYEAR DIALYSIS (FMC)","032622","-","500 N BULLARD AVE STE C34","GOODYEAR","AZ","85338","Network 15","Standardized Hospitalization Ratio","154.44","2","-","3","3"
"032626 MIDVALE PARK DIALYSIS (FMC)","032626","-","1430 W VALENCIA RD STE 1","TUCSON","AZ","85746","Network 15","Standardized Hospitalization Ratio","148.03","3","-","3","3"
"032628 KINGMAN DIALYSIS CLINIC (FMC)","032628","-","1721 AIRWAY AVE","KINGMAN","AZ","86409","Network 15","Standardized Hospitalization Ratio","169.82","0","-","3","3"
"032629 SOUTH TUCSON DIALYSIS (FMC)","032629","-","2802 SOUTH 6TH AVE","TUCSON","AZ","85713","Network 15","Standardized Hospitalization Ratio","121.55","6","-","3","3"
"032633 SANTAN DIALYSIS (FMC)","032633","-","300 W HIGHWAY 287","FLORENCE","AZ","85132","Network 15","Standardized Hospitalization Ratio","151.78","2","-","3","3"
"032635 GILBERT DIALYSIS (FMC)","032635","-","3511 MERCY RD STE 101","GILBERT","AZ","85297","Network 15","Standardized Hospitalization Ratio","141.48","3","-","3","3"
"032636 US Renal Care Flagstaff Dialysis","032636","-","2268 N WALGREENS ST","FLAGSTAFF","AZ","86004","Network 15","Standardized Hospitalization Ratio","146.44","3","-","3","3"
"032639 ESTRELLA MOUNTAIN DIALYSIS, LLC (ARA)","032639","-","9250 WEST THOMAS ROAD","PHOENIX","AZ","85037","Network 15","Standardized Hospitalization Ratio","145.15","3","-","3","3"
"032643 EAST TUCSON (FMC)","032643","-","5555 E 5TH ST #155","TUCSON","AZ","85711","Network 15","Standardized Hospitalization Ratio","176.63","0","-","3","3"
"032646-FMC-GLENDALE TOWN CENTER","032646","-","4407 WEST PEORIA AVE","GLENDALE","AZ","85302","Network 15","Standardized Hospitalization Ratio","171.57","0","-","3","3"
"032647-FMC NORTH MOUNTAIN","032647","-","16605 NORTH 28TH AVENUE","PHOENIX","AZ","85053","Network 15","Standardized Hospitalization Ratio","143.68","3","-","3","3"
"032648-FMC OLD TOWN SCOTTSDALE","032648","-","4141 N SCOTTSDALE RD","SCOTTSDALE","AZ","85251","Network 15","Standardized Hospitalization Ratio","193.81","0","-","3","3"
"032650 Fresenius Kidney Care Desert Sage","032650","-","4901 W MCDOWELL ROAD","PHOENIX","AZ","85035","Network 15","Standardized Hospitalization Ratio","191.77","0","-","3","3"
"032653-Fresenius Kidney Care Westgate Home","032653","-","6622 N 91ST AVENUE","Glendale","AZ","85305","Network 15","Standardized Hospitalization Ratio","217.24","0","-","3","3"
"032654-Fresenius Kidney Care Canyon Vista","032654","-","5555 MESA VERDE DR","Sierra Vista","AZ","85635","Network 15","Standardized Hospitalization Ratio","106.50","8","-","3","3"
"032656-Fresenius Kidney Care Westgate","032656","-","6622 N 91ST AVE","Glendale","AZ","85305","Network 15","Standardized Hospitalization Ratio","129.07","5","-","3","3"
"032661-Fresenius Kidney Care Gateway","032661","-","450 SOUTH GILBERT ROAD","Chandler","AZ","85225","Network 15","Standardized Hospitalization Ratio","148.56","3","-","3","3"
"033503 GILA RIVER DIALYSIS WEST","033503","-","9721 WEST PECOS RD- RR2, BOX 807","LAVEEN","AZ","85339","Network 15","Standardized Hospitalization Ratio","121.01","6","-","3","3"
"033504 GLENDALE FAMILY HEALTH CENTER - DIALYSIS","033504","-","8088 W WHITNEY DRIVE","Peoria","AZ","85345","Network 15","Standardized Hospitalization Ratio","113.75","7","-","3","3"
"062303 UNIVERSITY OF CO HOSPITAL - HOME DIALYSIS","062303","060024","12605 E. 16TH AVE","AURORA","CO","80045","Network 15","Standardized Hospitalization Ratio","147.29","3","-","6","3"
"062311 THE CHILDRENS HOSPITAL KIDNEY CTR.","062311","063301","13123 E 16TH AVE #328","AURORA","CO","80045","Network 15","Standardized Hospitalization Ratio","No Rate","No Score","13","6","3"
"062315 Heart of the Rockies Regional Dialysis Center","062315","061322","1000 RUSH DRIVE","SALIDA","CO","81201","Network 15","Standardized Hospitalization Ratio","48.01","10","-","6","3"
"062501 ROCKY MOUNTAIN DIALYSIS (FMC)","062501","-","4600 HALE PKWY STE 120","DENVER","CO","80220","Network 15","Standardized Hospitalization Ratio","89.90","9","-","6","3"
"062505 NORTHERN COLORADO KIDNEY CENTER (FMC)","062505","-","2107 S. TIMBERLINE RD","FORT COLLINS","CO","80525","Network 15","Standardized Hospitalization Ratio","117.72","6","-","6","3"
"062510 GREELEY DIALYSIS (FMC)","062510","-","2343 W 27TH ST STE 503","GREELEY","CO","80634","Network 15","Standardized Hospitalization Ratio","89.99","9","-","6","3"
"062520 PUEBLO DIALYSIS (FMC)","062520","-","41 MONTEBELLO RD STE 102","PUEBLO","CO","81001","Network 15","Standardized Hospitalization Ratio","102.98","8","-","6","3"
"062523 LOVELAND DIALYSIS (FMC)","062523","-","2940 GINNALA DR","LOVELAND","CO","80538","Network 15","Standardized Hospitalization Ratio","109.93","7","-","6","3"
"062525 LA JUNTA DIALYSIS (FMC)","062525","-","1012 HAYES AVE","La Junta","CO","81050","Network 15","Standardized Hospitalization Ratio","54.99","10","-","6","3"
"062526 WALSENBURG DIALYSIS (FMC)","062526","-","23450 HIGHWAY 160","WALSENBURG","CO","81089","Network 15","Standardized Hospitalization Ratio","39.50","10","-","6","3"
"062527 NORTHEAST DENVER DIALYSIS (FKC)","062527","-","590 LAREDO ST","Aurora","CO","80017","Network 15","Standardized Hospitalization Ratio","85.24","10","-","6","3"
"062530 MONTROSE DIALYSIS (DCI)","062530","-","846 SOUTH 5TH STREET","MONTROSE","CO","81401","Network 15","Standardized Hospitalization Ratio","74.74","10","-","6","3"
"062536 LAMAR DIALYSIS (FMC)","062536","-","108 WEST LEE AVE","LAMAR","CO","81052","Network 15","Standardized Hospitalization Ratio","47.27","10","-","6","3"
"062537 PUEBLO SOUTH DIALYSIS (FMC)","062537","-","3426 LAKE AVENUE STE 110","PUEBLO","CO","81004","Network 15","Standardized Hospitalization Ratio","99.34","8","-","6","3"
"062538 GRAND JUNCTION DIALYSIS (DCI)","062538","-","2748 CROSSROADS BLVD","GRAND JUNCTION","CO","81506","Network 15","Standardized Hospitalization Ratio","102.86","8","-","6","3"
"062545 AURORA DIALYSIS (FMC)","062545","-","962 POTOMAC CIR","AURORA","CO","80011","Network 15","Standardized Hospitalization Ratio","128.85","5","-","6","3"
"062548 STAPLETON DIALYSIS (FMC)","062548","-","7606 E 36TH AVE","DENVER","CO","80238","Network 15","Standardized Hospitalization Ratio","135.04","4","-","6","3"
"062554 KIDNEY CENTER OF ARVADA (ARA)","062554","-","5265 VANCE ST","ARVADA","CO","80002","Network 15","Standardized Hospitalization Ratio","94.47","9","-","6","3"
"062555 KIDNEY CENTER OF LAFAYETTE (ARA)","062555","-","2655 CRESCENT DR STE C","LAFAYETTE","CO","80026","Network 15","Standardized Hospitalization Ratio","128.69","5","-","6","3"
"062556 KIDNEY CENTER OF LAKEWOOD (ARA)","062556","-","6166 W ALAMEDA AVE","DENVER","CO","80226","Network 15","Standardized Hospitalization Ratio","175.56","0","-","6","3"
"062557 KIDNEY CENTER OF LONGMONT (ARA)","062557","-","1960 KEN PRATT BLVD STE A","LONGMONT","CO","80501","Network 15","Standardized Hospitalization Ratio","139.96","4","-","6","3"
"062558 KIDNEY CENTER OF WESTMINSTER (ARA)","062558","-","8410 DECATUR ST STE 200","WESTMINSTER","CO","80031","Network 15","Standardized Hospitalization Ratio","123.72","5","-","6","3"
"062560 LIBERTY DIALYSIS - PUEBLO","062560","-","850 EAGLERIDGE BLVD","PUEBLO","CO","81008","Network 15","Standardized Hospitalization Ratio","145.23","3","-","6","3"
"062563 LIBERTY DIALYSIS - COLORADO SPRINGS NORTH (FMC)","062563","-","2180 HOLLOWBROOK DR","COLORADO SPRINGS","CO","80918","Network 15","Standardized Hospitalization Ratio","102.46","8","-","6","3"
"062564 LIBERTY DIALYSIS - COLORADO SPRINGS SOUTH (FMC)","062564","-","2508 AIRPORT RD","COLORADO SPRINGS","CO","80909","Network 15","Standardized Hospitalization Ratio","121.58","6","-","6","3"
"062566 LIBERTY DIALYSIS COLORADO SPRINGS CENTRAL (FMC)","062566","-","1910 E LELARAY ST","COLORADO SPRINGS","CO","80909","Network 15","Standardized Hospitalization Ratio","106.03","7","-","6","3"
"062568 PUEBLO WEST DIALYSIS (FMC)","062568","-","73 N ASPEN SKI WAY","PUEBLO WEST","CO","81007","Network 15","Standardized Hospitalization Ratio","125.29","5","-","6","3"
"062570 KIDNEY CENTER OF BEAR CREEK (ARA)","062570","-","11058 WEST JEWELL AVE","LAKEWOOD","CO","80232","Network 15","Standardized Hospitalization Ratio","165.90","1","-","6","3"
"062575 PAVILION DIALYSIS (FMC)","062575","-","723 DELAWARE ST #M105","DENVER","CO","80204","Network 15","Standardized Hospitalization Ratio","153.40","2","-","6","3"
"062578 -  WEST HAMPDEN DIALYSIS (FMC)","062578","-","750 WEST HAMPDEN AVE #110","ENGLEWOOD","CO","80110","Network 15","Standardized Hospitalization Ratio","111.98","7","-","6","3"
"062580 NORTHERN COLORADO HOME THERAPY DIALYSIS (FMC)","062580","-","5285 MCWHINNEY BLVD #190","LOVELAND","CO","80538","Network 15","Standardized Hospitalization Ratio","104.78","8","-","6","3"
"062581 KIDNEY CENTER OF NORTHRIDGE (ARA)","062581","-","1865 W 121ST AVE, STE 300C","Westminster","CO","80234","Network 15","Standardized Hospitalization Ratio","115.50","7","-","6","3"
"062583 PARKER KIDNEY CENTER (ARA)","062583","-","18320 E COTTONWOOD DR STE C","PARKER","CO","80138","Network 15","Standardized Hospitalization Ratio","135.32","4","-","6","3"
"062584 SOUTH DENVER DIALYSIS (FMC)","062584","-","3410 S GALENA ST SUITE 100","DENVER","CO","80231","Network 15","Standardized Hospitalization Ratio","188.79","0","-","6","3"
"062585 NORTH GREELEY DIALYSIS (FMC)","062585","-","1212 9TH ST","GREELEY","CO","80631","Network 15","Standardized Hospitalization Ratio","105.08","8","-","6","3"
"062587 KIDNEY CENTER OF WHEAT RIDGE (ARA)","062587","-","6920 W 38TH AVE","WHEAT RIDGE","CO","80033","Network 15","Standardized Hospitalization Ratio","170.93","0","-","6","3"
"062589-KIDNEY CENTER OF THE ROCKIES","062589","-","50 BUCK CREEK ROAD","AVON","CO","81620","Network 15","Standardized Hospitalization Ratio","129.34","5","-","6","3"
"062590-KIDNEY CENTER OF FREDERICK","062590","-","5992 IRIS PARKWAY","LONGMONT","CO","80504","Network 15","Standardized Hospitalization Ratio","81.18","10","-","6","3"
"062593-Fresenius Medical Care Dialyis Services Colora","062593","-","1526 OAKRIDGE DR","Fort Collins","CO","80525","Network 15","Standardized Hospitalization Ratio","48.94","10","-","6","3"
"062594-Liberty Dialysis-Colorado Springs West","062594","-","3326 CENTENNIAL BLVD","Colorado Springs","CO","80907","Network 15","Standardized Hospitalization Ratio","106.28","7","-","6","3"
"062595-Fresenius Kidney Care Castle Rock Dialysis","062595","-","4352 TRAIL BOSS DRIVE","Castle Rock","CO","80104","Network 15","Standardized Hospitalization Ratio","58.79","10","-","6","3"
"292500 DESERT INN DIALYSIS (FMC)","292500","-","2545 S BRUCE ST, STE 100","LAS VEGAS","NV","89169","Network 15","Standardized Hospitalization Ratio","193.68","1","-","2","3"
"292506 NORTHWEST LAS VEGAS DIALYSIS (FMC)","292506","-","3150 N TENAYA WAY STE 110","LAS VEGAS","NV","89128","Network 15","Standardized Hospitalization Ratio","178.51","0","-","2","3"
"292508 CARSON CITY DIALYSIS (DCI)","292508","-","778 BASQUE WAY","CARSON CITY","NV","89706","Network 15","Standardized Hospitalization Ratio","159.42","1","-","2","3"
"292513 SOUTH PECOS (FMC)","292513","-","6330 S PECOS STE 110","LAS VEGAS","NV","89120","Network 15","Standardized Hospitalization Ratio","153.08","3","-","2","3"
"292516 ELKO DIALYSIS (DCI)","292516","-","1995 ERRECART BLVD STE 100","ELKO","NV","89801","Network 15","Standardized Hospitalization Ratio","134.72","4","-","2","3"
"292519 LAKE MEAD NORTH (FMC)","292519","-","1581 MOUNT MARIAH DRIVE","LAS VEGAS","NV","89106","Network 15","Standardized Hospitalization Ratio","186.47","0","-","2","3"
"292523 American Dialysis  Centers  Las Vegas","292523","-","4107 W CHEYENNE AVENUE","North Las Vegas","NV","89032","Network 15","Standardized Hospitalization Ratio","207.56","3","-","2","3"
"292527 FIRE MESA DIALYSIS (FMC)","292527","-","2450 FIRE MESA ST","Las Vegas","NV","89128","Network 15","Standardized Hospitalization Ratio","149.84","2","-","2","3"
"292529 SOUTH RAINBOW DIALYSIS (FMC)","292529","-","7040 W SUNSET RD","LAS VEGAS","NV","89113","Network 15","Standardized Hospitalization Ratio","199.23","0","-","2","3"
"292532 DESERT VALLEY DIALYSIS","292532","-","350 FALCON RIDGE PKWY STE 104","MESQUITE","NV","89027","Network 15","Standardized Hospitalization Ratio","110.24","7","-","2","3"
"292533 LIBERTY DIALYSIS - RENO HOME DIALYSIS","292533","-","601 SIERRA ROSE DR STE 201","RENO","NV","89511","Network 15","Standardized Hospitalization Ratio","96.90","8","-","2","3"
"292535 GARDNERVILLE DIALYSIS (DCI)","292535","-","1281 KIMMERLING RD STE A1","GARDNERVILLE","NV","89460","Network 15","Standardized Hospitalization Ratio","158.47","1","-","2","3"
"292537 LIBERTY DIALYSIS - SOUTH RENO","292537","-","601 SIERRA ROSE DR STE 101","RENO","NV","89511","Network 15","Standardized Hospitalization Ratio","146.72","3","-","2","3"
"292540 LIBERTY DIALYSIS - CARSON CITY","292540","-","4500 S CARSON ST","CARSON CITY","NV","89701","Network 15","Standardized Hospitalization Ratio","144.44","3","-","2","3"
"292541 LIBERTY DIALYSIS - NORTHWEST RENO","292541","-","6144 MAE ANNE AVE","RENO","NV","89523","Network 15","Standardized Hospitalization Ratio","152.54","2","-","2","3"
"292542 CENTENNIAL DIALYSIS (FMC)","292542","-","7465 W AZURE DR STE 1A","LAS VEGAS","NV","89130","Network 15","Standardized Hospitalization Ratio","151.07","2","-","2","3"
"292543 LIBERTY DIALYSIS - LAS VEGAS (FMC)","292543","-","5815 S. RAINBOW BLVD.","Las Vegas","NV","89118","Network 15","Standardized Hospitalization Ratio","155.40","2","-","2","3"
"292544 WEST SAHARA DIALYSIS (FMC)","292544","-","7710 WEST SAHARA AVE STE 120","LAS VEGAS","NV","89117","Network 15","Standardized Hospitalization Ratio","157.32","2","-","2","3"
"292545 LIBERTY DIALYSIS - SPARKS (FMC)","292545","-","5915 S LOS ALTOS PKWY","SPARKS","NV","89436","Network 15","Standardized Hospitalization Ratio","88.64","9","-","2","3"
"292549 NORTHEAST LAS VEGAS (FMC)","292549","-","321 N. NELLIS BLVD SUITE 120","LAS VEGAS","NV","89110","Network 15","Standardized Hospitalization Ratio","188.38","0","-","2","3"
"292550 SANDERLING DIALYSIS CENTER","292550","-","701 E 15TH ST","ELY","NV","89301","Network 15","Standardized Hospitalization Ratio","No Rate","No Score","13","2","3"
"292551 FMC-Oasis","292551","-","1661 W HORIZON RIDGE PARKWAY","HENDERSON","NV","89012","Network 15","Standardized Hospitalization Ratio","164.72","1","-","2","3"
"292556-American Dialysis Centers North Las Vegas LLC","292556","-","4107 W CHEYENNE AVENUE","North Las Vegas","NV","89032","Network 15","Standardized Hospitalization Ratio","157.23","5","-","2","3"
"292557-Sahara Dialysis Center","292557","-","2350 STOCKTON AVENUE","Las Vegas","NV","89104","Network 15","Standardized Hospitalization Ratio","175.09","0","-","2","3"
"322310 UNM PEDIATRIC DIALYSIS","322310","320001","2211 LOMAS BLVD NE BOX 256","ALBUQUERQUE","NM","87106","Network 15","Standardized Hospitalization Ratio","118.37","6","-","5","3"
"322500 NEW MEXICO ARTIFICIAL KIDNEY CENTER (FMC)","322500","-","1600 RANDOLPH SE STE 100","ALBUQUERQUE","NM","87106","Network 15","Standardized Hospitalization Ratio","169.64","0","-","5","3"
"322501 SANTA FE DIALYSIS (FMC)","322501","-","641 HARKLE RD","SANTA FE","NM","87505","Network 15","Standardized Hospitalization Ratio","93.59","9","-","5","3"
"322504 ALBUQUERQUE KIDNEY CENTER (FMC)","322504","-","11296 LOMAS BLVD NE","ALBUQUERQUE","NM","87112","Network 15","Standardized Hospitalization Ratio","98.74","8","-","5","3"
"322505 LAS CRUCES DIALYSIS (FMC)","322505","-","3875 FOOTHILLS RD","LAS CRUCES","NM","88011","Network 15","Standardized Hospitalization Ratio","182.61","0","-","5","3"
"322506 ALBUQUERQUE DIALYSIS (DCI)","322506","-","1500 INDIAN SCHOOL RD NE","ALBUQUERQUE","NM","87102","Network 15","Standardized Hospitalization Ratio","134.70","4","-","5","3"
"322507 SILVER CITY DIALYSIS (DCI)","322507","-","1310 SUNSET LN","SILVER CITY","NM","88061","Network 15","Standardized Hospitalization Ratio","48.69","10","-","5","3"
"322508 ALAMOGORDO DIALYSIS (FMC)","322508","-","2578 MEDICAL DR","ALAMOGORDO","NM","88310","Network 15","Standardized Hospitalization Ratio","98.30","8","-","5","3"
"322509 RIO RANCHO DIALYSIS (FMC)","322509","-","1760 GRANDE BLVD STE 100","RIO RANCHO","NM","87124","Network 15","Standardized Hospitalization Ratio","134.52","4","-","5","3"
"322510 GRANTS DIALYSIS (DCI)","322510","-","1213 BONITA ST","GRANTS","NM","87020","Network 15","Standardized Hospitalization Ratio","130.79","5","-","5","3"
