"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
ME,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,28,0,7,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,9,0,17,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ME,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,33,0,2,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,0,42,2,55
MI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,12,73,12,24
MI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,19,66,21,16
MI,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,102,0,14,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,60,0,50,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,60,0,50,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,88,1,23,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,53,0,47,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_CABG,Rate of readmission for CABG,0,32,0,3,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,101,0,21,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,97,0,21,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,49,0,43,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,110,1,11,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,1,18,0,61
MN,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,14,43,6,60
MN,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2022,06/30/2025,23,43,13,45
MN,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Not Available,Not Available,Not Available,Not Available,4,07/01/2024,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,71,0,16,,01/01/2022,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,39,0,69,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,39,0,69,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,47,1,32,,01/01/2024,12/31/2024,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,22,0,61,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MN,READM_30_CABG,Rate of readmission for CABG,0,13,0,1,,07/01/2023,06/30/2025,Not Applicable,Not Applicable,Not Applicable,Not Applicable
